Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:6sDQ4uiWw9OdVrCXFLSlZt,"Rap God",Eminem,"The Marshall Mathers LP2 (Deluxe)",0,2013,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:29Key5Lj0YlIMH8JzRDy6U,Survival,Eminem,"The Marshall Mathers LP2 (Deluxe)",0,2013,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:19JUKimeLAspEwJ2SvH7Jk,Boom,"Royce Da 5'9""","Rock City",0,2002,0,55,770188,"detroit hip hop, gangster rap, hardcore hip hop, hip hop"
spotify:track:3wewtRoViqv6IVLuPfth8E,"Bagpipes From Baghdad",Eminem,"Relapse: Refill",0,2009,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:2ye824NM1m7Nc2UPXtwZjL,"When I'm Gone",Eminem,"Curtain Call (Deluxe)",0,2005,1,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:1IDTYpJ9s2IYdMj5xKVqww,"N 2 Gether Now","Limp Bizkit","Greatest Hitz",0,2005,0,72,5255303,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
spotify:track:230FiynPW9S6uxAl37Ev8H,"Must Be The Ganja",Eminem,"Relapse: Refill",0,2009,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:1ynwYMQEZgKa1CPLH2b8qo,"Same Song & Dance",Eminem,Relapse,0,2009,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:4z4rETivtcdIiqFMWWHzze,"White America",Eminem,"The Eminem Show",0,2002,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:4PbhV8BYpnga2zdeSeqhcw,Business,Eminem,"The Eminem Show",0,2002,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:5yMZU1xolje7E1xGmezcuj,"Cleanin' Out My Closet",Eminem,"The Eminem Show",0,2002,0,88,74360232,"detroit hip hop, hip hop, rap"
spotify:track:3jbY9X0XZcdMMGmqI6c8ys,"Lynguistics [Deluxe Edition]",Cunninlynguists,"Will Rap for Food [Deluxe Edition]",56,2001,47,43,156330,"alternative hip hop, underground rap"
